BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,28/04/2021,0
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,06/10/2021,2
97,Botany Bay,Bayside Council,Ramsgate Baths,151.14819,-33.98542,27/10/2021,6
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,21/04/2021,0
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,18/11/2021,0
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,08/11/2021,10
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,29/03/2021,9
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,07/12/2021,6
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,10/02/2021,4
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,26/02/2021,2
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,16/04/2021,4
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,04/02/2021,12
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,22/03/2021,320
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,12/04/2021,31
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,10/08/2021,2
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,04/11/2021,1
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,22/12/2021,0
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,28/04/2021,0
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,07/05/2021,45
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,27/10/2021,6
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,12/11/2021,57
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,06/04/2021,6
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,06/10/2021,2
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,01/12/2021,7
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,04/03/2021,5
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,17/12/2021,7
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,22/02/2021,9
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,16/03/2021,3
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,24/11/2021,5
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,22/01/2021,0
99,Botany Bay,Bayside Council,Sandringham Baths,151.14039,-34.00054,03/09/2021,0
